Method,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,RMSE_mean,RMSE_std
FBP,21.624565495871373,0.18652468866288713,0.42515906270062775,0.007675294496626145,0.08296052739024162,0.0017720267045102814
FISTA-TV,23.29779494024208,0.18533928440865363,0.5304066649712718,0.008340663557528976,0.06842405945062638,0.0014535767127276209
ISTA-Net,21.58784576982131,0.18614951798721413,0.42384138176386815,0.007628415860887604,0.08331191018223763,0.001775951763048314
FBPConvNet,23.858964688616517,0.25297970793388996,0.5534720044708037,0.005260891430020879,0.06415573768317699,0.0018614044903870108
FISTA-Net,23.801083412670696,0.1619499743615478,0.764185611856691,0.0023046603089560856,0.06456857547163963,0.0012014437989966015
